run_name,prefix,method,window,inject_tps,seed,timestamp,state_check,expected_total,effective_total,completion_ratio,valid_latency_count,valid_latency_ratio,target_tps,actual_offered_tps,offered_attainment_ratio,final_schedule_lag_ms,max_abs_schedule_lag_ms,wall_tps,wall_to_offered_ratio,mean_epoch_tps,median_epoch_tps,p05_epoch_tps,p95_epoch_tps,mean_latency_sec,p50_latency_sec,p95_latency_sec,p99_latency_sec,max_latency_sec,cross_total,weighted_cross_ratio,mean_load_variance,p95_load_variance,mean_max_shard_load_share,p95_max_shard_load_share,mean_active_shards,min_active_shards,mean_jain_fairness,p05_jain_fairness,mean_load_cv,p95_load_cv,aggregate_max_shard_load_share,aggregate_jain_fairness,decision_count,python_ppo_ratio,fallback_ratio,candidate_only_ratio,action_mask_size_mean,candidate_major_anchor_coverage_ratio,candidate_all_related_coverage_ratio,candidate_related_mass_coverage_mean,major_related_follow_ratio,chosen_any_related_ratio,chosen_related_mass_mean,major_anchor_choice_when_available_ratio,spring_mode,candidate_top_k,protocol_ok
anchoronly_16s_test2M_i250_seed7_20260812_174355,anchoronly,AnchorOnly,test2M,250,7,20260812_174355,passed,2000000,2000000.0,1.0,2000000,1.0,250.0,249.999989,0.999999956,0.351,2.211,249.79338964259188,0.999173602534006,282.19818543906723,262.22158703928693,248.85592801015878,422.8852349349942,22.937350878,5.701,165.926,240.951,261.96,795930.0,0.397965,29537.37254457429,58593.75,0.5604309173346196,1.0,12.240324594257178,1.0,0.20618616616318328,0.0625,2.1781704031300717,3.872983346207417,0.5448085,0.19570523277601345,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,True
anchoronly_16s_validation444k_i250_seed7_20260807_221558,anchoronly,AnchorOnly,validation444k,250,7,20260807_221558,passed,444019,444019.0,1.0,444019,1.0,250.0,249.999996,0.999999984,0.031,2.903,248.9691212999669,0.9958765011338916,432.76487429180816,436.4316702654659,405.7227180688308,461.99281768735204,4.498586823987262,4.587,7.643,8.649,12.651,202981.0,0.45714485190949034,17037.09184597718,22350.60839844,0.40371288523620735,0.480865224625624,13.513966480446927,1.0,0.26449095570691217,0.21564000221462076,1.6820636661039665,1.907186019490043,0.39990856247142575,0.2710138318231623,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,True
hash_16s_test2M_i250_seed17_20260902_203142,hash,Hash,test2M,250,17,20260902_203142,passed,2000000,2000000.0,1.0,2000000,1.0,250.0,249.999988,0.999999952,0.388,9.359,249.80936422892282,0.9992375048790915,587.4691354661616,564.6675866201423,535.0882071811261,780.1710967347963,24.0223523625,6.833,166.198,240.269,262.237,1666121.0,0.8330605,17512.13157137671,58593.75,0.4133630854344883,1.0,14.02059925093633,1.0,0.3604720749839845,0.0625,1.5941272057301925,3.872983346207417,0.39840725,0.3295005637191575,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True
hash_16s_test2M_i250_seed27_20260903_150422,hash,Hash,test2M,250,27,20260903_150422,passed,2000000,2000000.0,1.0,2000000,1.0,250.0,249.999989,0.999999956,0.344,9.602,249.7568305058987,0.9990273659807989,239.60129695693686,225.32214312695044,211.53376163557363,314.49960803445754,24.1320478795,7.002,165.979,241.013,264.239,1666121.0,0.8330605,17514.740535513352,58593.75,0.4129736655859786,1.0,14.013732833957553,1.0,0.36052457277300054,0.0625,1.5931449309844132,3.872983346207417,0.39840725,0.3295005637191575,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True
hash_16s_test2M_i250_seed7_20260810_230854,hash,Hash,test2M,250,7,20260810_230854,passed,2000000,2000000.0,1.0,2000000,1.0,250.0,249.999979,0.9999999159999999,0.669,2.881,249.7764188830473,0.999105759457073,327.94637793000084,313.364223236668,296.7967942330424,441.18560708673874,24.192438352,6.858,166.92,241.951,262.97,1666121.0,0.8330605,17515.668955067078,58593.75,0.41326771351343733,1.0,14.019975031210986,1.0,0.36050843772956553,0.0625,1.593833955014531,3.872983346207417,0.39840725,0.3295005637191575,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True
hash_16s_validation444k_i250_seed7_20260806_184753,hash,Hash,validation444k,250,7,20260806_184753,passed,444019,444019.0,1.0,444019,1.0,250.0,249.999916,0.9999996640000001,0.598,1.41,248.8047795370188,0.9952194525418111,288.2973067063889,290.25807115023156,264.26332949097696,313.1100014490601,6.4819252824766505,6.677,10.687,11.729,12.815,402339.0,0.9061301430794628,8771.846706967039,12648.27246094,0.30842016612859136,0.37021969080553296,15.924581005586592,3.0,0.41330206216641635,0.3425241094613247,1.2015491026860299,1.385461121020627,0.3072120787623953,0.4253520414714849,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True
heuristic_pure_16s_test2M_i250_seed7_20260811_211053,heuristic_pure,Heuristic,test2M,250,7,20260811_211053,passed,2000000,2000000.0,1.0,2000000,1.0,250.0,249.999979,0.9999999159999999,0.682,9.453,249.74869038030482,0.9989948454367863,270.3774268962885,255.8282896840425,241.3778452629298,377.06944358178407,23.759873056,6.806,166.115,241.135,261.122,1087613.0,0.5438065,22419.78645101942,58593.75,0.4761691359090229,1.0,13.725967540574283,1.0,0.2667780966990786,0.0625,1.869745545961656,3.872983346207417,0.46055575,0.2618778337353887,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,True
heuristic_pure_16s_validation444k_i250_seed7_20260806_223230,heuristic_pure,Heuristic,validation444k,250,7,20260806_223230,passed,444019,444019.0,1.0,444019,1.0,250.0,249.999901,0.999999604,0.701,1.484,248.8245783332381,0.9952987074712406,387.0509492829946,389.9424234546474,356.4305981383176,416.8547456992456,5.475996901033515,5.491,10.004,11.549,12.583,285727.0,0.6435017420425703,12047.421967747458,16526.265625,0.3486171052166214,0.42008432349559216,14.636871508379889,3.0,0.3386398759304208,0.2810174283045428,1.4079903929348139,1.5995306044229296,0.34554489785347026,0.34997378919620753,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,True
minstate_16s_test2M_i250_seed7_20260811_171232,minstate,MinState,test2M,250,7,20260811_171232,passed,2000000,2000000.0,1.0,2000000,1.0,250.0,249.999998,0.999999992,0.05,9.934,249.79451278891702,0.9991780591490925,392.13750088327026,353.50170656528115,333.0045037272386,630.3014656273921,25.794662859,7.345,163.038,287.568,336.587,1931392.0,0.965696,12945.349842239344,27343.75,0.34942134114329937,0.5,14.258426966292134,2.0,0.3622374461940289,0.125,1.4427533454476997,2.6457513110645903,0.34253025,0.4031070247312953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,True
minstate_16s_validation444k_i250_seed7_20260806_211709,minstate,MinState,validation444k,250,7,20260806_211709,passed,444019,444019.0,1.0,444019,1.0,250.0,249.999984,0.999999936,0.113,1.287,249.180797063833,0.9967232520456202,497.0499962349569,499.71403693924634,462.06891837860337,530.1383661135557,6.088816543886636,5.888,10.384,11.698,12.873,410348.0,0.9241676594920487,9262.485786503305,12863.140625,0.31432853905989655,0.3684834123222749,15.946778711484594,3.0,0.4010729042915975,0.33240667146071046,1.2307910074701534,1.4171673177318367,0.31359919282733395,0.41076520809911293,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,True
