result_set,method,window,target_tps,seed,cross_ratio,mean_max_share,mean_jain,mean_active_shards,latency_mean_sec,latency_p95_sec,latency_p99_sec,wall_tps,quality_ok,run
实验结果9,anchoronly,test2M,250,7,0.397965,0.5604309173346196,0.20618616616318328,12.240324594257178,22.937350878,165.926,240.951,249.79338964259188,True,anchoronly_16s_test2M_i250_seed7_20260812_174355
实验结果9,anchoronly,validation444k,250,7,0.45714485190949034,0.40371288523620735,0.26449095570691217,13.513966480446927,4.498586823987262,7.643,8.649,248.9691212999669,True,anchoronly_16s_validation444k_i250_seed7_20260807_221558
实验结果9,hash,test2M,250,17,0.8330605,0.4133630854344883,0.3604720749839845,14.02059925093633,24.0223523625,166.198,240.269,249.80936422892282,True,hash_16s_test2M_i250_seed17_20260902_203142
实验结果9,hash,test2M,250,27,0.8330605,0.4129736655859786,0.36052457277300054,14.013732833957553,24.1320478795,165.979,241.013,249.7568305058987,True,hash_16s_test2M_i250_seed27_20260903_150422
实验结果9,hash,test2M,250,7,0.8330605,0.41326771351343733,0.36050843772956553,14.019975031210986,24.192438352,166.92,241.951,249.7764188830473,True,hash_16s_test2M_i250_seed7_20260810_230854
实验结果9,hash,validation444k,250,7,0.9061301430794628,0.30842016612859136,0.41330206216641635,15.924581005586592,6.4819252824766505,10.687,11.729,248.8047795370188,True,hash_16s_validation444k_i250_seed7_20260806_184753
实验结果9,heuristic_pure,test2M,250,7,0.5438065,0.4761691359090229,0.2667780966990786,13.725967540574283,23.759873056,166.115,241.135,249.74869038030482,True,heuristic_pure_16s_test2M_i250_seed7_20260811_211053
实验结果9,heuristic_pure,validation444k,250,7,0.6435017420425703,0.3486171052166214,0.3386398759304208,14.636871508379889,5.475996901033515,10.004,11.549,248.8245783332381,True,heuristic_pure_16s_validation444k_i250_seed7_20260806_223230
实验结果9,minstate,test2M,250,7,0.965696,0.34942134114329937,0.3622374461940289,14.258426966292134,25.794662859,163.038,287.568,249.79451278891702,True,minstate_16s_test2M_i250_seed7_20260811_171232
实验结果9,minstate,validation444k,250,7,0.9241676594920487,0.31432853905989655,0.4010729042915975,15.946778711484594,6.088816543886636,10.384,11.698,249.180797063833,True,minstate_16s_validation444k_i250_seed7_20260806_211709
实验结果9,nsshard_adapted_cap12,test2M,250,17,0.7638775,0.3535772701253933,0.3135794950092653,14.030303030303031,25.330077551,162.322,280.326,249.77417292590337,True,nsshard_adapted_cap12_16s_test2M_i250_seed17_20260905_131822
实验结果9,nsshard_adapted_cap12,test2M,250,27,0.7638775,0.3525930079594026,0.31345677028200947,14.049282595134123,24.830930066,163.551,281.545,249.84110105972601,True,nsshard_adapted_cap12_16s_test2M_i250_seed27_20260905_164808
实验结果9,nsshard_adapted_cap12,test2M,250,7,0.7638775,0.3522657621223293,0.31399183183102963,14.070536828963796,24.577793851,162.084,280.126,249.74588356347417,True,nsshard_adapted_cap12_16s_test2M_i250_seed7_20260812_121736
