account_address,profile_id,device_label,actor_type,site_id,x_m,y_m,first_tx_index
0x00007cd2ac92bfb576b63dd9f87e379fbd039dff,profile_25,WithingsSmartScale,device,11,16.5,3.0,198535
0x0000fcdd10836b0d567756434833f5a3cbb9fb69,profile_17,RingDoorBell,device,37,27.5,26.0,190613
0x00012b901f9b8051b7c4f2bac2b154724cc9eae1,profile_09,HelloBarbie,device,3,19.5,19.0,4282
0x000211c801a7e0257f5abf11888924dd78a27e46,profile_12,NestProtect,device,7,22.5,8.0,112355
0x00026e09db06cb0b22dccc7c8409e00f18c890ab,profile_05,BelkinWemoSwitch,device,15,5.5,3.0,15218
0x00052803eb1046c728e7082fbf76ed2f5cae490c,profile_23,WithingsBabyMonitor,device,53,28.5,5.0,260860
0x00057121b7c52d1114d22c0e1f36ca63b089dfd7,profile_06,BlipCareBPMeter,device,2,24.5,20.0,112345
0x0005968d1565b0df361369fef725aa5a2787923b,profile_05,BelkinWemoSwitch,device,54,26.5,2.0,112610
0x0006577839f5f0d626980a8f05ef82791fb1ee14,profile_11,NestDropCam,device,39,30.5,26.0,6785
0x0006d90147802c4e1524480960595d227cd4306e,profile_17,RingDoorBell,device,20,0.5,17.0,115149
0x000753d4a4e2457de603b8cd133c7488af31e6da,profile_06,BlipCareBPMeter,device,38,30.5,31.0,26716
0x0007751948c7deb3d15cf12d5f10339414d2e021,profile_21,TPLinkSmartPlug,device,9,21.5,2.0,22324
0x000816efcb0860b2d4886da94a4136e332dc9624,profile_16,PixStarPhotoFrame,device,3,19.5,19.0,52832
0x0008e04f249777af7cc51667e39ffb0dca708281,profile_05,BelkinWemoSwitch,device,3,19.5,19.0,8416
0x000922b8c56512e7bf27263d178eda9d252775ac,profile_09,HelloBarbie,device,46,34.5,16.0,200867
0x000965873c1e9da2902b3171d190d9ed6ad3fd39,profile_10,LiFXBulb,device,1,21.5,23.0,114912
0x0009cbf26fa8f20f06c63bffb83f93ae49b832a9,profile_18,SamsungCamera,device,28,10.5,31.0,38335
0x000a84c0b82cae395e259c158da44a65999e5b12,profile_17,RingDoorBell,device,8,24.5,4.0,232290
0x000af480b0eabf2d8e30a6fe28b482d8c0fa2e4e,profile_09,HelloBarbie,device,45,37.5,19.0,258327
0x000b083501b1dbb3e87f41c95bcf628e9ba9334a,profile_12,NestProtect,device,39,30.5,26.0,187735
0x000b26c658321e160465fd1a758aeae0abb76aec,profile_12,NestProtect,device,17,1.5,8.0,200328
0x000b6bfd1ee59b0201dac28cfce3e12b172f2dcd,profile_04,BelkinWemoMotionSensor,device,39,30.5,26.0,7109
0x000c59d3ea75d5c52c8711536b207ea240ae3f3c,profile_22,TribySpeaker,device,7,22.5,8.0,20048
0x000d1674516cc7f743a5d4062c7e4195d1e58d8d,profile_21,TPLinkSmartPlug,device,19,3.5,13.0,196454
