profile_id,device_label,device_mac,source_file,raw_rows,eligible_rows,sample_rows,rejected_rows,time_min,time_max,duration_max_raw
profile_00,AmazonEcho,44:65:0d:56:cc:d3,flows/AmazonEcho_44650d56ccd3_flows.csv,245784,245784,4096,0,2016-09-30 19:30:02.820351,2017-03-24 18:29:42.843743,989088055.0
profile_01,AugustDoorBell,e0:76:d0:3f:00:ae,flows/AugustDoorBell_e076d03f00ae_flows.csv,1132276,1132274,4096,2,2016-12-02 07:55:51.605565,2017-04-13 19:29:52.216794,1982267273.0
profile_02,AwairAirQuality,70:88:6b:10:0f:c6,flows/AwairAirQuality_70886b100fc6_flows.csv,4406,4406,4096,0,2016-11-10 16:58:36.072071,2017-03-07 12:04:14.133881,9320478444.0
profile_03,BelkinCamera,b4:75:0e:ec:e5:a9,flows/BelkinCamera_b4750eece5a9_flows.csv,65169,65169,4096,0,2017-02-21 18:30:02.129212,2017-03-16 13:11:44.029040,1210879272.0
profile_04,BelkinWemoMotionSensor,ec:1a:59:83:28:11,flows/BelkinWemoMotionSensor_ec1a59832811_flows.csv,680235,680235,4096,0,2016-09-30 19:30:19.456999,2017-03-07 12:55:47.512306,4596412619.0
profile_05,BelkinWemoSwitch,ec:1a:59:79:f4:89,flows/BelkinWemoSwitch_ec1a5979f489_flows.csv,490562,490562,4096,0,2016-09-30 19:30:19.541036,2017-03-23 14:53:52.983763,1735760235.0
profile_06,BlipCareBPMeter,74:6a:89:00:2e:25,flows/BlipCareBPMeter_746a89002e25_flows.csv,54,54,54,0,2016-10-04 11:50:02.263576,2017-04-10 10:18:52.797087,7280.0
profile_07,CanaryCamera,7c:70:bc:5d:5e:dc,flows/CanaryCamera_7c70bc5d5edc_flows.csv,6598,6598,4096,0,2016-11-22 07:16:56.512650,2017-03-05 09:28:39.984450,69617697.0
profile_08,HPPrinter,70:5a:0f:e4:9b:c0,flows/HPPrinter_705a0fe49bc0_flows.csv,594646,594646,4096,0,2016-09-30 19:30:23.945979,2017-04-13 19:29:49.755073,2810599038.0
profile_09,HelloBarbie,28:c2:dd:ff:a5:2d,flows/HelloBarbie_28c2ddffa52d_flows.csv,150,150,150,0,2017-03-02 07:56:58.479206,2017-04-13 19:09:28.366759,966234369.0
profile_10,LiFXBulb,d0:73:d5:01:83:08,flows/LiFXBulb_d073d5018308_flows.csv,102032,102032,4096,0,2016-09-30 19:30:18.223989,2017-04-13 19:29:45.591210,15326730985.0
profile_11,NestDropCam,30:8c:fb:2f:e4:b2,flows/NestDropCam_308cfb2fe4b2_flows.csv,2108,2104,2104,4,2016-09-30 19:30:03.344739,2017-04-13 13:31:39.580008,1004975026.0
profile_12,NestProtect,18:b4:30:25:be:e4,flows/NestProtect_18b43025bee4_flows.csv,256956,256956,4096,0,2016-09-30 22:43:00.816758,2017-04-13 13:05:11.619417,318068530.0
profile_13,NetatmoWeatherStation,70:ee:50:03:b8:ac,flows/NetatmoWeatherStation_70ee5003b8ac_flows.csv,78879,78879,4096,0,2016-09-30 19:31:47.474195,2017-04-13 19:21:18.272420,1767486905.0
profile_14,NetatmoWelcome,70:ee:50:18:34:43,flows/NetatmoWelcome_70ee50183443_flows.csv,315974,315974,4096,0,2016-09-30 19:30:01.919554,2017-03-26 18:28:21.725869,1776795982.0
profile_15,PhilipsHue,00:17:88:2b:9a:25,flows/PhilipsHue_0017882b9a25_flows.csv,302097,302097,4096,0,2016-11-14 18:30:12.239981,2017-04-13 19:29:58.771764,1493477324.0
profile_16,PixStarPhotoFrame,e0:76:d0:33:bb:85,flows/PixStarPhotoFrame_e076d033bb85_flows.csv,15358,15358,4096,0,2016-09-30 19:39:17.680214,2017-04-06 13:45:48.006288,15845942856.0
profile_17,RingDoorBell,88:4a:ea:31:66:9d,flows/RingDoorBell_884aea31669d_flows.csv,1105,1105,1105,0,2017-03-07 11:07:32.459208,2017-04-13 19:08:43.800289,1476054699.0
profile_18,SamsungCamera,00:16:6c:ab:6b:88,flows/SamsungCamera_00166cab6b88_flows.csv,379921,379921,4096,0,2016-09-30 19:30:07.766655,2017-04-13 19:29:47.939398,607954277.0
profile_19,SamsungSmartThings,d0:52:a8:00:67:5e,flows/SamsungSmartThings_d052a800675e_flows.csv,42912,42912,4096,0,2016-09-30 19:30:10.275045,2017-04-13 19:29:46.671716,1220935210.0
profile_20,TPLinkCamera,f4:f2:6d:93:51:f1,flows/TPLinkCamera_f4f26D9351f1_flows.csv,48007,48007,4096,0,2016-09-30 19:30:16.569918,2017-04-13 19:29:10.591414,3278411369.0
profile_21,TPLinkSmartPlug,50:c7:bf:00:56:39,flows/TPLinkSmartPlug_50c7bf005639_flows.csv,12816,12816,4096,0,2016-09-30 19:30:02.367889,2017-03-07 12:55:05.253420,7596278173.0
profile_22,TribySpeaker,18:b7:9e:02:20:44,flows/TribySpeaker_18B79E022044_flows.csv,51650,51650,4096,0,2016-09-30 19:30:22.020597,2017-04-07 19:22:07.065598,15189818183.0
profile_23,WithingsBabyMonitor,00:24:e4:11:18:a8,flows/WithingsBabyMonitor_0024e41118a8_flows.csv,11241,11241,4096,0,2016-09-22 19:31:32.056236,2016-10-07 09:32:46.841449,21602686.0
profile_24,WithingsSleepSensor,00:24:e4:20:28:c6,flows/WithingsSleepSensor_0024e42028c6_flows.csv,41223,41221,4096,2,2016-09-30 19:30:09.836689,2017-03-24 18:25:03.503821,5580735386.0
profile_25,WithingsSmartScale,00:24:e4:1b:6f:96,flows/WithingsSmartScale_0024e41b6f96_flows.csv,1530,1530,1530,0,2016-09-30 20:08:18.816368,2017-04-13 08:10:37.108761,1815546814.0
profile_26,iHome,74:c6:3b:29:d7:1d,flows/iHome_74c63b29d71d_flows.csv,60352,60352,4096,0,2016-09-30 19:30:49.521309,2017-02-24 10:21:17.740415,7024331547.0
