template_id,profile_id,source_file,source_row,time,protocol,srcIp,dstIp,srcPort,dstPort,srcNumPackets,dstNumPackets,srcPayloadSize,dstPayloadSize,flowDuration,is_control_protocol
profile_00:64,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,64,2016-09-30 19:58:18.955588,ntp,192.168.1.240,107.170.224.8,42938,123,1,1,48,48,153.0,0
profile_00:67,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,67,2016-09-30 20:02:06.917607,ntp,192.168.1.240,138.236.128.36,58028,123,1,1,48,48,196.0,0
profile_00:180,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,180,2016-09-30 20:45:55.140255,ntp,192.168.1.240,107.170.224.8,42938,123,1,1,48,48,153.0,0
profile_00:217,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,217,2016-09-30 21:04:40.167875,icmp,192.168.1.240,208.67.220.220,*,*,5,5,320,320,21.0,1
profile_00:399,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,399,2016-09-30 22:26:52.214031,ntp,192.168.1.240,198.38.16.1,34991,123,1,1,48,48,228.0,0
profile_00:420,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,420,2016-09-30 22:35:13.154937,tls,192.168.1.240,205.251.242.52,54092,443,185,197,12397,12418,4383619.0,0
profile_00:440,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,440,2016-09-30 22:45:13.661274,dns,192.168.1.240,8.8.8.8,47950,53,2,2,66,110,2.0,0
profile_00:453,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,453,2016-09-30 22:50:13.560582,dns,192.168.1.240,8.8.8.8,44602,53,2,2,66,110,2.0,0
profile_00:547,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,547,2016-09-30 23:35:51.193282,none,192.168.1.240,72.21.207.120,50715,443,1,0,37,0,0.0,0
profile_00:642,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,642,2016-10-01 00:18:17.591338,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,20.0,1
profile_00:653,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,653,2016-10-01 00:23:17.533870,icmp,192.168.1.240,192.168.1.1,*,*,10,10,640,640,38.0,1
profile_00:673,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,673,2016-10-01 00:33:17.637148,icmp,192.168.1.240,208.67.220.220,*,*,5,5,320,320,13.0,1
profile_00:682,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,682,2016-10-01 00:36:07.103042,ntp,192.168.1.240,107.170.224.8,42938,123,1,1,48,48,153.0,0
profile_00:773,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,773,2016-10-01 01:20:51.226673,none,192.168.1.240,54.239.26.180,46644,443,1,0,37,0,0.0,0
profile_00:921,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,921,2016-10-01 02:20:51.284222,dns,192.168.1.240,192.168.1.1,36633,53,1,1,46,284,221.0,0
profile_00:1119,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,1119,2016-10-01 03:45:51.128687,ntp,192.168.1.240,204.11.201.12,49744,123,1,1,48,48,162.0,0
profile_00:1273,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,1273,2016-10-01 04:48:10.030890,ntp,192.168.1.240,204.11.201.12,49744,123,1,1,48,48,162.0,0
profile_00:1341,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,1341,2016-10-01 05:16:05.035877,dns,192.168.1.240,8.8.8.8,36370,53,2,2,66,110,2.0,0
profile_00:1413,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,1413,2016-10-01 05:51:04.895097,dns,192.168.1.240,8.8.8.8,41595,53,2,2,66,110,2.0,0
profile_00:1434,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,1434,2016-10-01 05:58:37.547098,tls,192.168.1.240,54.239.26.180,33718,443,5,7,2959,3236,2408.0,0
profile_00:1541,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,1541,2016-10-01 06:44:49.835117,icmp,192.168.1.240,208.67.220.220,*,*,5,5,320,320,12.0,1
profile_00:1664,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,1664,2016-10-01 07:39:27.660470,dns,192.168.1.240,8.8.8.8,48185,53,2,2,66,110,2.0,0
profile_00:1847,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,1847,2016-10-01 08:59:04.394679,ntp,192.168.1.240,107.170.224.8,42938,123,1,1,48,48,153.0,0
profile_00:1961,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,1961,2016-10-01 09:54:14.805695,dns,192.168.1.240,8.8.8.8,37907,53,2,2,66,110,2.0,0
profile_00:2045,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2045,2016-10-01 10:34:15.166415,dns,192.168.1.240,8.8.8.8,60961,53,2,2,66,110,2.0,0
profile_00:2073,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2073,2016-10-01 10:49:14.832870,icmp,192.168.1.240,8.8.8.8,*,*,10,10,640,640,109993.0,1
profile_00:2074,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2074,2016-10-01 10:49:14.856565,icmp,192.168.1.240,208.67.220.220,*,*,10,10,640,640,110006.0,1
profile_00:2106,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2106,2016-10-01 11:01:06.538288,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,12.0,1
