site_id,x_m,y_m
1,21.5,23.0
2,24.5,20.0
3,19.5,19.0
4,22.5,15.0
5,24.5,12.0
6,19.5,12.0
7,22.5,8.0
8,24.5,4.0
9,21.5,2.0
10,19.5,5.0
11,16.5,3.0
12,13.5,1.0
13,12.5,5.0
14,8.5,6.0
15,5.5,3.0
16,1.5,2.0
17,1.5,8.0
18,5.5,10.0
19,3.5,13.0
20,0.5,17.0
21,4.5,18.0
22,1.5,23.0
23,6.0,24.0
24,1.5,30.0
25,4.5,30.0
26,7.5,31.0
27,8.5,26.0
28,10.5,31.0
29,12.5,26.0
30,13.5,31.0
31,15.5,28.0
32,17.5,31.0
33,19.5,26.0
34,21.5,30.0
35,24.5,27.0
36,26.5,31.0
37,27.5,26.0
38,30.5,31.0
39,30.5,26.0
40,33.5,28.0
41,36.5,30.0
42,39.5,30.0
43,35.5,24.0
44,40.5,22.0
45,37.5,19.0
46,34.5,16.0
47,39.5,14.0
48,35.5,10.0
49,39.5,6.0
50,38.5,1.0
51,35.5,4.0
52,31.5,6.0
53,28.5,5.0
54,26.5,2.0
