Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,1,0,0,0,0,1778669900310,1778669900362,0,0,0
2,2,0,46,32,6,1778669905313,1778669905344,367321,255520,47910
3,3,0,50,30,14,1778669910315,1778669910347,427520,218967,164759
4,4,0,13,0,13,1778669915312,1778669915348,159903,0,159903
5,5,0,0,0,0,1778669920311,1778669920356,0,0,0
6,6,0,0,0,0,1778669925312,1778669925352,0,0,0
7,7,0,0,0,0,1778669930312,1778669930357,0,0,0
8,8,0,0,0,0,1778669935314,1778669935358,0,0,0
9,9,0,0,0,0,1778669940313,1778669940360,0,0,0
10,10,0,0,0,0,1778669945314,1778669945355,0,0,0
11,11,0,0,0,0,1778669950314,1778669950354,0,0,0
12,12,0,0,0,0,1778669955314,1778669955357,0,0,0
13,13,0,0,0,0,1778669960315,1778669960360,0,0,0
14,14,0,0,0,0,1778669965316,1778669965363,0,0,0
15,15,0,0,0,0,1778669970316,1778669970357,0,0,0
16,16,0,0,0,0,1778669975316,1778669975359,0,0,0
17,17,0,0,0,0,1778669980317,1778669980363,0,0,0
18,18,0,0,0,0,1778669985317,1778669985357,0,0,0
19,19,0,0,0,0,1778669990317,1778669990371,0,0,0
20,20,0,0,0,0,1778669995317,1778669995364,0,0,0
21,21,0,0,0,0,1778670000318,1778670000355,0,0,0
22,22,0,0,0,0,1778670005318,1778670005364,0,0,0
23,23,0,0,0,0,1778670010318,1778670010362,0,0,0
24,24,0,0,0,0,1778670015320,1778670015367,0,0,0
25,25,0,0,0,0,1778670020319,1778670020361,0,0,0
26,26,0,0,0,0,1778670025320,1778670025365,0,0,0
27,27,0,0,0,0,1778670030320,1778670030355,0,0,0
28,28,0,0,0,0,1778670035320,1778670035366,0,0,0
29,29,0,0,0,0,1778670040321,1778670040369,0,0,0
30,30,0,0,0,0,1778670045321,1778670045364,0,0,0
31,31,0,0,0,0,1778670050322,1778670050366,0,0,0
32,32,0,0,0,0,1778670055323,1778670055364,0,0,0
33,33,0,0,0,0,1778670060323,1778670060366,0,0,0
34,34,0,0,0,0,1778670065324,1778670065364,0,0,0
