TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
76492491761581555066100079966633490764787726344261879411356371806723634008538,1778669897359,1778669905313,1778669906624,1778669905344,1778669906624,,,9265
14297164418023906628571413526464277611211959019299763320680130066692000042659,1778669897359,1778669906587,1778669906624,,,,,9265
23056531682577083412779118184642604237641933153457720665478460244569376603939,1778669903047,1778669909870,1778669911355,1778669909920,1778669911355,,,8307
122128180716647929307369493822663745265077673888440998536829922829765229476,1778669903047,1778669910315,1778669910347,,,,,7299
33841474403451420489880808315608336843723997114234094877465798655523194854897,1778669903047,1778669910315,1778669910347,,,,,7299
108215156553835770348308710322778175613091803224041343426975542349129452647587,1778669903047,1778669910315,1778669911632,1778669910347,1778669911632,,,8585
99082138536722587614073706442682476963174782777898028620653057275889108140180,1778669903047,1778669910315,1778669911632,1778669910347,1778669911632,,,8584
84332155360077462917081160187620092821758169041466140766002435223480548547476,1778669897359,1778669904870,1778669904908,,,,,7549
4762063980441758188022975527969512739982303825283288502681300057390795871285,1778669897359,1778669904870,1778669904908,,,,,7549
84659955068560182272581452105996643042813696212634759712673981667639559201755,1778669897358,1778669904870,1778669906346,1778669904908,1778669906346,,,8988
78571527075626979235774867565525431711260472847934219042214975011637514294011,1778669897348,1778669905313,1778669905344,,,,,7996
59122221672796361315130143950974176036580479715153187240912554417292393999824,1778669897359,1778669905313,1778669905344,,,,,7985
84720371061411730676252287686141787878870191650020180561096564703309992849128,1778669897358,1778669905313,1778669906624,1778669905344,1778669906624,,,9265
7428580091247346517658221567238149983382385693302105674401620838116144493843,1778669897359,1778669905313,1778669906624,1778669905344,1778669906624,,,9265
46719886060025577707636829792593068751409085966095185293593501241789558462392,1778669897359,1778669906313,1778669910347,1778669906346,1778669910347,,,12987
